,island_Biscoe,island_Dream,island_Torgersen,species_Adelie,species_Chinstrap,species_Gentoo,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
119,0,0,1,1,0,0,41.1,18.6,189.0,3325.0,1
120,0,0,1,1,0,0,36.2,17.2,187.0,3150.0,0
121,0,0,1,1,0,0,37.7,19.8,198.0,3500.0,1
122,0,0,1,1,0,0,40.2,17.0,176.0,3450.0,0
123,0,0,1,1,0,0,41.4,18.5,202.0,3875.0,1
124,0,0,1,1,0,0,35.2,15.9,186.0,3050.0,0
125,0,0,1,1,0,0,40.6,19.0,199.0,4000.0,1
126,0,0,1,1,0,0,38.8,17.6,191.0,3275.0,0
127,0,0,1,1,0,0,41.5,18.3,195.0,4300.0,1
128,0,0,1,1,0,0,39.0,17.1,191.0,3050.0,0
129,0,0,1,1,0,0,44.1,18.0,210.0,4000.0,1
130,0,0,1,1,0,0,38.5,17.9,190.0,3325.0,0
131,0,0,1,1,0,0,43.1,19.2,197.0,3500.0,1
132,0,1,0,1,0,0,36.8,18.5,193.0,3500.0,0
133,0,1,0,1,0,0,37.5,18.5,199.0,4475.0,1
134,0,1,0,1,0,0,38.1,17.6,187.0,3425.0,0
135,0,1,0,1,0,0,41.1,17.5,190.0,3900.0,1
136,0,1,0,1,0,0,35.6,17.5,191.0,3175.0,0
137,0,1,0,1,0,0,40.2,20.1,200.0,3975.0,1
138,0,1,0,1,0,0,37.0,16.5,185.0,3400.0,0
139,0,1,0,1,0,0,39.7,17.9,193.0,4250.0,1
140,0,1,0,1,0,0,40.2,17.1,193.0,3400.0,0
141,0,1,0,1,0,0,40.6,17.2,187.0,3475.0,1
142,0,1,0,1,0,0,32.1,15.5,188.0,3050.0,0
143,0,1,0,1,0,0,40.7,17.0,190.0,3725.0,1
144,0,1,0,1,0,0,37.3,16.8,192.0,3000.0,0
145,0,1,0,1,0,0,39.0,18.7,185.0,3650.0,1
146,0,1,0,1,0,0,39.2,18.6,190.0,4250.0,1
147,0,1,0,1,0,0,36.6,18.4,184.0,3475.0,0
148,0,1,0,1,0,0,36.0,17.8,195.0,3450.0,0
149,0,1,0,1,0,0,37.8,18.1,193.0,3750.0,1
150,0,1,0,1,0,0,36.0,17.1,187.0,3700.0,0
151,0,1,0,1,0,0,41.5,18.5,201.0,4000.0,1
152,0,1,0,0,1,0,46.5,17.9,192.0,3500.0,0
153,0,1,0,0,1,0,50.0,19.5,196.0,3900.0,1
154,0,1,0,0,1,0,51.3,19.2,193.0,3650.0,1
155,0,1,0,0,1,0,45.4,18.7,188.0,3525.0,0
156,0,1,0,0,1,0,52.7,19.8,197.0,3725.0,1
157,0,1,0,0,1,0,45.2,17.8,198.0,3950.0,0
158,0,1,0,0,1,0,46.1,18.2,178.0,3250.0,0
159,0,1,0,0,1,0,51.3,18.2,197.0,3750.0,1
160,0,1,0,0,1,0,46.0,18.9,195.0,4150.0,0
161,0,1,0,0,1,0,51.3,19.9,198.0,3700.0,1
162,0,1,0,0,1,0,46.6,17.8,193.0,3800.0,0
163,0,1,0,0,1,0,51.7,20.3,194.0,3775.0,1
164,0,1,0,0,1,0,47.0,17.3,185.0,3700.0,0
165,0,1,0,0,1,0,52.0,18.1,201.0,4050.0,1
166,0,1,0,0,1,0,45.9,17.1,190.0,3575.0,0
167,0,1,0,0,1,0,50.5,19.6,201.0,4050.0,1
168,0,1,0,0,1,0,50.3,20.0,197.0,3300.0,1
169,0,1,0,0,1,0,58.0,17.8,181.0,3700.0,0
170,0,1,0,0,1,0,46.4,18.6,190.0,3450.0,0
171,0,1,0,0,1,0,49.2,18.2,195.0,4400.0,1
172,0,1,0,0,1,0,42.4,17.3,181.0,3600.0,0
173,0,1,0,0,1,0,48.5,17.5,191.0,3400.0,1
174,0,1,0,0,1,0,43.2,16.6,187.0,2900.0,0
175,0,1,0,0,1,0,50.6,19.4,193.0,3800.0,1
176,0,1,0,0,1,0,46.7,17.9,195.0,3300.0,0
177,0,1,0,0,1,0,52.0,19.0,197.0,4150.0,1
178,0,1,0,0,1,0,50.5,18.4,200.0,3400.0,0
179,0,1,0,0,1,0,49.5,19.0,200.0,3800.0,1
180,0,1,0,0,1,0,46.4,17.8,191.0,3700.0,0
181,0,1,0,0,1,0,52.8,20.0,205.0,4550.0,1
182,0,1,0,0,1,0,40.9,16.6,187.0,3200.0,0
183,0,1,0,0,1,0,54.2,20.8,201.0,4300.0,1
184,0,1,0,0,1,0,42.5,16.7,187.0,3350.0,0
185,0,1,0,0,1,0,51.0,18.8,203.0,4100.0,1
186,0,1,0,0,1,0,49.7,18.6,195.0,3600.0,1
187,0,1,0,0,1,0,47.5,16.8,199.0,3900.0,0
188,0,1,0,0,1,0,47.6,18.3,195.0,3850.0,0
189,0,1,0,0,1,0,52.0,20.7,210.0,4800.0,1
190,0,1,0,0,1,0,46.9,16.6,192.0,2700.0,0
191,0,1,0,0,1,0,53.5,19.9,205.0,4500.0,1
192,0,1,0,0,1,0,49.0,19.5,210.0,3950.0,1
193,0,1,0,0,1,0,46.2,17.5,187.0,3650.0,0
194,0,1,0,0,1,0,50.9,19.1,196.0,3550.0,1
195,0,1,0,0,1,0,45.5,17.0,196.0,3500.0,0
196,0,1,0,0,1,0,50.9,17.9,196.0,3675.0,0
197,0,1,0,0,1,0,50.8,18.5,201.0,4450.0,1
198,0,1,0,0,1,0,50.1,17.9,190.0,3400.0,0
199,0,1,0,0,1,0,49.0,19.6,212.0,4300.0,1
200,0,1,0,0,1,0,51.5,18.7,187.0,3250.0,1
201,0,1,0,0,1,0,49.8,17.3,198.0,3675.0,0
202,0,1,0,0,1,0,48.1,16.4,199.0,3325.0,0
203,0,1,0,0,1,0,51.4,19.0,201.0,3950.0,1
204,0,1,0,0,1,0,45.7,17.3,193.0,3600.0,0
205,0,1,0,0,1,0,50.7,19.7,203.0,4050.0,1
206,0,1,0,0,1,0,42.5,17.3,187.0,3350.0,0
207,0,1,0,0,1,0,52.2,18.8,197.0,3450.0,1
208,0,1,0,0,1,0,45.2,16.6,191.0,3250.0,0
209,0,1,0,0,1,0,49.3,19.9,203.0,4050.0,1
210,0,1,0,0,1,0,50.2,18.8,202.0,3800.0,1
211,0,1,0,0,1,0,45.6,19.4,194.0,3525.0,0
212,0,1,0,0,1,0,51.9,19.5,206.0,3950.0,1
213,0,1,0,0,1,0,46.8,16.5,189.0,3650.0,0
214,0,1,0,0,1,0,45.7,17.0,195.0,3650.0,0
215,0,1,0,0,1,0,55.8,19.8,207.0,4000.0,1
216,0,1,0,0,1,0,43.5,18.1,202.0,3400.0,0
217,0,1,0,0,1,0,49.6,18.2,193.0,3775.0,1
218,0,1,0,0,1,0,50.8,19.0,210.0,4100.0,1
219,0,1,0,0,1,0,50.2,18.7,198.0,3775.0,0
220,1,0,0,0,0,1,46.1,13.2,211.0,4500.0,0
221,1,0,0,0,0,1,50.0,16.3,230.0,5700.0,1
222,1,0,0,0,0,1,48.7,14.1,210.0,4450.0,0
223,1,0,0,0,0,1,50.0,15.2,218.0,5700.0,1
224,1,0,0,0,0,1,47.6,14.5,215.0,5400.0,1
225,1,0,0,0,0,1,46.5,13.5,210.0,4550.0,0
226,1,0,0,0,0,1,45.4,14.6,211.0,4800.0,0
227,1,0,0,0,0,1,46.7,15.3,219.0,5200.0,1
228,1,0,0,0,0,1,43.3,13.4,209.0,4400.0,0
229,1,0,0,0,0,1,46.8,15.4,215.0,5150.0,1
230,1,0,0,0,0,1,40.9,13.7,214.0,4650.0,0
231,1,0,0,0,0,1,49.0,16.1,216.0,5550.0,1
232,1,0,0,0,0,1,45.5,13.7,214.0,4650.0,0
233,1,0,0,0,0,1,48.4,14.6,213.0,5850.0,1
234,1,0,0,0,0,1,45.8,14.6,210.0,4200.0,0
235,1,0,0,0,0,1,49.3,15.7,217.0,5850.0,1
236,1,0,0,0,0,1,42.0,13.5,210.0,4150.0,0
237,1,0,0,0,0,1,49.2,15.2,221.0,6300.0,1
238,1,0,0,0,0,1,46.2,14.5,209.0,4800.0,0
239,1,0,0,0,0,1,48.7,15.1,222.0,5350.0,1
240,1,0,0,0,0,1,50.2,14.3,218.0,5700.0,1
241,1,0,0,0,0,1,45.1,14.5,215.0,5000.0,0
242,1,0,0,0,0,1,46.5,14.5,213.0,4400.0,0
243,1,0,0,0,0,1,46.3,15.8,215.0,5050.0,1
244,1,0,0,0,0,1,42.9,13.1,215.0,5000.0,0
245,1,0,0,0,0,1,46.1,15.1,215.0,5100.0,1
247,1,0,0,0,0,1,47.8,15.0,215.0,5650.0,1
248,1,0,0,0,0,1,48.2,14.3,210.0,4600.0,0
249,1,0,0,0,0,1,50.0,15.3,220.0,5550.0,1
250,1,0,0,0,0,1,47.3,15.3,222.0,5250.0,1
251,1,0,0,0,0,1,42.8,14.2,209.0,4700.0,0
252,1,0,0,0,0,1,45.1,14.5,207.0,5050.0,0
253,1,0,0,0,0,1,59.6,17.0,230.0,6050.0,1
254,1,0,0,0,0,1,49.1,14.8,220.0,5150.0,0
255,1,0,0,0,0,1,48.4,16.3,220.0,5400.0,1
256,1,0,0,0,0,1,42.6,13.7,213.0,4950.0,0
257,1,0,0,0,0,1,44.4,17.3,219.0,5250.0,1
258,1,0,0,0,0,1,44.0,13.6,208.0,4350.0,0
259,1,0,0,0,0,1,48.7,15.7,208.0,5350.0,1
260,1,0,0,0,0,1,42.7,13.7,208.0,3950.0,0
261,1,0,0,0,0,1,49.6,16.0,225.0,5700.0,1
262,1,0,0,0,0,1,45.3,13.7,210.0,4300.0,0
263,1,0,0,0,0,1,49.6,15.0,216.0,4750.0,1
264,1,0,0,0,0,1,50.5,15.9,222.0,5550.0,1
265,1,0,0,0,0,1,43.6,13.9,217.0,4900.0,0
266,1,0,0,0,0,1,45.5,13.9,210.0,4200.0,0
267,1,0,0,0,0,1,50.5,15.9,225.0,5400.0,1
268,1,0,0,0,0,1,44.9,13.3,213.0,5100.0,0
269,1,0,0,0,0,1,45.2,15.8,215.0,5300.0,1
270,1,0,0,0,0,1,46.6,14.2,210.0,4850.0,0
271,1,0,0,0,0,1,48.5,14.1,220.0,5300.0,1
272,1,0,0,0,0,1,45.1,14.4,210.0,4400.0,0
273,1,0,0,0,0,1,50.1,15.0,225.0,5000.0,1
274,1,0,0,0,0,1,46.5,14.4,217.0,4900.0,0
275,1,0,0,0,0,1,45.0,15.4,220.0,5050.0,1
276,1,0,0,0,0,1,43.8,13.9,208.0,4300.0,0
277,1,0,0,0,0,1,45.5,15.0,220.0,5000.0,1
278,1,0,0,0,0,1,43.2,14.5,208.0,4450.0,0
279,1,0,0,0,0,1,50.4,15.3,224.0,5550.0,1
280,1,0,0,0,0,1,45.3,13.8,208.0,4200.0,0
281,1,0,0,0,0,1,46.2,14.9,221.0,5300.0,1
282,1,0,0,0,0,1,45.7,13.9,214.0,4400.0,0
283,1,0,0,0,0,1,54.3,15.7,231.0,5650.0,1
284,1,0,0,0,0,1,45.8,14.2,219.0,4700.0,0
285,1,0,0,0,0,1,49.8,16.8,230.0,5700.0,1
287,1,0,0,0,0,1,49.5,16.2,229.0,5800.0,1
288,1,0,0,0,0,1,43.5,14.2,220.0,4700.0,0
289,1,0,0,0,0,1,50.7,15.0,223.0,5550.0,1
290,1,0,0,0,0,1,47.7,15.0,216.0,4750.0,0
291,1,0,0,0,0,1,46.4,15.6,221.0,5000.0,1
292,1,0,0,0,0,1,48.2,15.6,221.0,5100.0,1
293,1,0,0,0,0,1,46.5,14.8,217.0,5200.0,0
294,1,0,0,0,0,1,46.4,15.0,216.0,4700.0,0
295,1,0,0,0,0,1,48.6,16.0,230.0,5800.0,1
296,1,0,0,0,0,1,47.5,14.2,209.0,4600.0,0
297,1,0,0,0,0,1,51.1,16.3,220.0,6000.0,1
298,1,0,0,0,0,1,45.2,13.8,215.0,4750.0,0
299,1,0,0,0,0,1,45.2,16.4,223.0,5950.0,1
300,1,0,0,0,0,1,49.1,14.5,212.0,4625.0,0
301,1,0,0,0,0,1,52.5,15.6,221.0,5450.0,1
302,1,0,0,0,0,1,47.4,14.6,212.0,4725.0,0
303,1,0,0,0,0,1,50.0,15.9,224.0,5350.0,1
304,1,0,0,0,0,1,44.9,13.8,212.0,4750.0,0
305,1,0,0,0,0,1,50.8,17.3,228.0,5600.0,1
306,1,0,0,0,0,1,43.4,14.4,218.0,4600.0,0
307,1,0,0,0,0,1,51.3,14.2,218.0,5300.0,1
308,1,0,0,0,0,1,47.5,14.0,212.0,4875.0,0
309,1,0,0,0,0,1,52.1,17.0,230.0,5550.0,1
310,1,0,0,0,0,1,47.5,15.0,218.0,4950.0,0
311,1,0,0,0,0,1,52.2,17.1,228.0,5400.0,1
312,1,0,0,0,0,1,45.5,14.5,212.0,4750.0,0
313,1,0,0,0,0,1,49.5,16.1,224.0,5650.0,1
314,1,0,0,0,0,1,44.5,14.7,214.0,4850.0,0
315,1,0,0,0,0,1,50.8,15.7,226.0,5200.0,1
316,1,0,0,0,0,1,49.4,15.8,216.0,4925.0,1
317,1,0,0,0,0,1,46.9,14.6,222.0,4875.0,0
318,1,0,0,0,0,1,48.4,14.4,203.0,4625.0,0
319,1,0,0,0,0,1,51.1,16.5,225.0,5250.0,1
320,1,0,0,0,0,1,48.5,15.0,219.0,4850.0,0
321,1,0,0,0,0,1,55.9,17.0,228.0,5600.0,1
322,1,0,0,0,0,1,47.2,15.5,215.0,4975.0,0
323,1,0,0,0,0,1,49.1,15.0,228.0,5500.0,1
325,1,0,0,0,0,1,46.8,16.1,215.0,5500.0,1
326,1,0,0,0,0,1,41.7,14.7,210.0,4700.0,0
327,1,0,0,0,0,1,53.4,15.8,219.0,5500.0,1
328,1,0,0,0,0,1,43.3,14.0,208.0,4575.0,0
329,1,0,0,0,0,1,48.1,15.1,209.0,5500.0,1
330,1,0,0,0,0,1,50.5,15.2,216.0,5000.0,0
331,1,0,0,0,0,1,49.8,15.9,229.0,5950.0,1
332,1,0,0,0,0,1,43.5,15.2,213.0,4650.0,0
333,1,0,0,0,0,1,51.5,16.3,230.0,5500.0,1
334,1,0,0,0,0,1,46.2,14.1,217.0,4375.0,0
335,1,0,0,0,0,1,55.1,16.0,230.0,5850.0,1
337,1,0,0,0,0,1,48.8,16.2,222.0,6000.0,1
338,1,0,0,0,0,1,47.2,13.7,214.0,4925.0,0
340,1,0,0,0,0,1,46.8,14.3,215.0,4850.0,0
341,1,0,0,0,0,1,50.4,15.7,222.0,5750.0,1
342,1,0,0,0,0,1,45.2,14.8,212.0,5200.0,0
343,1,0,0,0,0,1,49.9,16.1,213.0,5400.0,1
